Dark blue,827074707584712744
Light blue,827074886056280075
Dark red,827074952544256091
Light red,827074994709987379
Bright yellow,827075043062186016
Yellow,827075118965719070
Orange,827075291347419166
Dark Green,827075343113781295
Lime,827079265409171476
Violet,827079469344751656
Purple,827079856181346305
Pink,827079898292027433
Salmon,827080165241913344
Magenta?,827080215976345601
Cyan,827080268422053889
Weston(White),827080312432492554
Edgy(Black),827080487020265523
Brown,827080516519329802
Gray,827081489527209984
JoJo Bizarre Adventure,827082286763606047
Exploration guild,827082341280645151
Game development,827082373287116810
Factorio,827082567664140288
Warthunder,827082603051876382
Supreme Commander 2,827082662702481428
Civilization XI,827082718243192862
Super Smash Bros,827082747331215380
⍜⍀⎅⟟⋏⏃⍀⊬ ⌇⏃⎍⌇⏃☌⟒,827082991296577556
Minecraft,827083147014570055
Terraria,827083182380679168
Animal Crossing,827083241566502962
Grand Theft Auto V,827083280683106324
Overwatch,827083318926639114
Stellaris,827083348979220480
Wiz/Pir101,827083443656851466
Persona,827083511411376139
Among us,827083681310965800
Tarkov,827083727422619648
Europa Universals IV,827083768161763328
Crusader Kings 2,827083859635208292
Pokémon,827083889301913610
SCP,827083960068735000
Team Fortress 2,827084000120143922
He/Him,827085412979572746
She/Her,827085443950444566
They/Them,827085473419100170
Ketchup,827086696461238282
Mustard,827086826023288832
Chili,827089416602386483
Relish,827089457772625950
Sauerkraut,827089514388258856
Coleslaw,827090076365750272
Jalapeño,827090143416418325
Mayo,827090399402655825
Plain,827283746889138186
Nick,827285400967970827
Elite dangerous,827286912691601418
Stonks,827286953526951966
Dark blue,827074707584712744
Light blue,827074886056280075
Dark red,827074952544256091
Light red,827074994709987379
Bright yellow,827075043062186016
Yellow,827075118965719070
Orange,827075291347419166
Dark Green,827075343113781295
Lime,827079265409171476
Violet,827079469344751656
Purple,827079856181346305
Pink,827079898292027433
Salmon,827080165241913344
Magenta?,827080215976345601
Cyan,827080268422053889
Weston(White),827080312432492554
Edgy(Black),827080487020265523
Brown,827080516519329802
Gray,827081489527209984
JoJo Bizarre Adventure,827082286763606047
Exploration guild,827082341280645151
Game development,827082373287116810
Factorio,827082567664140288
Warthunder,827082603051876382
Supreme Commander 2,827082662702481428
Civilization XI,827082718243192862
Super Smash Bros,827082747331215380
⍜⍀⎅⟟⋏⏃⍀⊬ ⌇⏃⎍⌇⏃☌⟒,827082991296577556
Minecraft,827083147014570055
Terraria,827083182380679168
Animal Crossing,827083241566502962
Grand Theft Auto V,827083280683106324
Overwatch,827083318926639114
Stellaris,827083348979220480
Wiz/Pir101,827083443656851466
Persona,827083511411376139
Among us,827083681310965800
Tarkov,827083727422619648
Europa Universals IV,827083768161763328
Crusader Kings 2,827083859635208292
Pokémon,827083889301913610
SCP,827083960068735000
Team Fortress 2,827084000120143922
He/Him,827085412979572746
She/Her,827085443950444566
They/Them,827085473419100170
Ketchup,827086696461238282
Mustard,827086826023288832
Chili,827089416602386483
Relish,827089457772625950
Sauerkraut,827089514388258856
Coleslaw,827090076365750272
Jalapeño,827090143416418325
Mayo,827090399402655825
Plain,827283746889138186
Nick,827285400967970827
Elite dangerous,827286912691601418
Stonks,827286953526951966
Hotdog-Onions,827600982401613834
Hotdog-Cheese,827601524913340417
Pepperoni,827605627663810581
Pizza-cheese,827605707360436255
Pizza-Onion,827605741233373195
Mushroom,827605825967095808
Sausage,827605857185300490
Bacon,827605946959396864
Extra-Cheese,827605979315044362
Olives,827606015893438504
Peppers,827606059631247420
Pineapple,827606090505519126
Broccoli,827606135880155197
Spinach,827606162928304178
Honey-Mustard,827607575322820608
Feta-Cheese,827608145652088889
Buffalo-Chicken,827609184441729134
Hot-Sauce,827613769319448606
Ranch,827613800098037790
Meat-Lovers,827613834516365372
Anchovies,827613995941757010
Tuna,827614035104759819
Prosciutto,827614189677051945
INTJ,828104879007596554
INTP,828105067416387645
ENTJ,828105105285840896
ENTP,828105140862713926
INFJ,828105209833586719
INFP,828105269686173706
ENFJ,828105317182734416
ENFP,828105518685749279
ISTJ,828105562428145674
ISFJ,828105594862043166
ESTJ,828105652760215602
ESFJ,828105682787893288
ISTP,828105735115374593
ISFP,828105764455055430
ESTP,828105816610439239
ESFP,828105845979611157
QotD,834962223993585694
Twitch,848615958331129897
ATWRM,848758595284762715
The library,850206642334990356
Free Shit,852641022130520144
Party games,852642522181795881
Left-Beef,854216467389349948
Danganronpa,868671804636528651
Autozone,870082863016587274
artists,871882547196465272
Nerd Shit,878309966866419722
